Points T1,Kills T1,map,mode,Kills T2,Points T2,team_a,team_b
86,0,PolarHighlands,Conquest,6,750,"HedgehogBC, InteliWasp, weaver, RalphyNoPants, Tarnc, Roxxi Rose","benben10, NubyaTheRealtor, MasterPig, NolRinela, Micheal Hessek, lorddrakewater"
750,6,PolarHighlands,Conquest,1,113,"Tonu, Monsoon Cloudburst, Cephylist, Vampyreq, Sibko Slacker, Dithiolium","NubyaTheRealtor, Drake67, Manikin Fartwalker, JFrIend, benben10, Micheal Hessek"
750,6,BearClaw,Conquest,1,117,"Drake67, NubyaTheRealtor, Micheal Hessek, lorddrakewater, MasterPig, benben10","HedgehogBC, weaver, Tetatae Exchange Student, Canopus Cat, RalphyNoPants, Roxxi Rose"
750,6,FrozenCityNight,Conquest,1,74,"NolRinela, NubyaTheRealtor, benben10, Manikin Fartwalker, lorddrakewater, MasterPig","FoPhoenix, GIJimmy41, EyeSeaHue, GraterAuthority, PhatSamurai, Phartnocker"
103,0,RiverCity,Conquest,6,750,"DeliiT, enblom50, NeoWave, Snowlulz, Call me Yoshi, Oozie Man","benben10, MasterPig, Drake67, Manikin Fartwalker, NubyaTheRealtor, lorddrakewater"
75,2,BearClaw,Conquest,6,750,"NubyaTheRealtor, NolRinela, Drake67, lorddrakewater, JFrIend, Manikin Fartwalker","Monsoon Cloudburst, Cephylist, Tonu, Dithiolium, Vlexis Striker, Xyco"
750,6,FrozenCityNight,Conquest,4,426,"NubyaTheRealtor, benben10, MasterPig, Manikin Fartwalker, Drake67, lorddrakewater","SorbP, NeoWave, DeliiT, Snowlulz, Oozie Man, Call me Yoshi"
106,2,FrozenCityNight,Conquest,6,750,"FoPhoenix, EyeSeaHue, Jags37, GIJimmy41, GraterAuthority, Phartnocker","NubyaTheRealtor, MasterPig, benben10, lorddrakewater, NolRinela, Manikin Fartwalker"
138,2,VitricForgeQP,Conquest,6,750,"SorbP, NeoWave, enblom50, Oozie Man, Snowlulz, Call me Yoshi","NubyaTheRealtor, benben10, MasterPig, Drake67, lorddrakewater, Manikin Fartwalker"
750,6,RiverCity,Conquest,1,98,"MasterPig, lorddrakewater, NubyaTheRealtor, benben10, Manikin Fartwalker, Drake67","enblom50, Oozie Man, DeliiT, Call me Yoshi, NeoWave, Snowlulz"
177,0,HibernalRift,Conquest,6,750,"Tetatae Exchange Student, HedgehogBC, Canopus Cat, RalphyNoPants, Roxxi Rose, Tarnc","MasterPig, NubyaTheRealtor, NolRinela, Drake67, Micheal Hessek, lorddrakewater"
750,6,HibernalRift,Conquest,1,201,"MasterPig, NubyaTheRealtor, Drake67, NolRinela, lorddrakewater, Micheal Hessek","Tarnc, HedgehogBC, Tetatae Exchange Student, RalphyNoPants, weaver, Canopus Cat"
96,3,EmeraldTaigaQP,Conquest,6,750,"Dylan Pickles, Resting_Cthulhu, Cupid and Psyche _, Thunderwyrm, Ciderstien, KH Slaine","NubyaTheRealtor, JFrIend, Manikin Fartwalker, lorddrakewater, MasterPig, Drake67"
750,,VitricForgeQP,Conquest,5,117,"Manikin Fartwalker, NolRinela, NubyaTheRealtor, lorddrakewater, benben10, MasterPig","PhatSamurai, GIJimmy41, EyeSeaHue, FoPhoenix, Phartnocker, GraterAuthority"
55,0,BearClaw,Conquest,6,750,"Canopus Cat, RalphyNoPants, Tarnc, weaver, HedgehogBC, Tetatae Exchange Student","NubyaTheRealtor, MasterPig, Drake67, benben10, lorddrakewater, Micheal Hessek"
8,1,TerraThermaQP,Conquest,6,750,"Thunderwyrm, Cupid and Psyche _, Ghost of Eden, Ciderstien, Dylan Pickles, Resting_Cthulhu","MasterPig, benben10, lorddrakewater, NubyaTheRealtor, JFrIend, Manikin Fartwalker"
750,6,CausticValley,Conquest,3,97,"Dylan Pickles, KH Slaine, Ghost of Eden, Resting_Cthulhu, Ciderstien, Doc Device","JFrIend, MasterPig, Drake67, NubyaTheRealtor, Manikin Fartwalker, lorddrakewater"
750,6,CausticValley,Conquest,0,244,"MasterPig, benben10, NubyaTheRealtor, JFrIend, lorddrakewater, Manikin Fartwalker","KH Slaine, Thunderwyrm, Ghost of Eden, Resting_Cthulhu, Cupid and Psyche _, Ciderstien"
62,1,PolarHighlands,Conquest,6,750,"Drake67, JFrIend, Manikin Fartwalker, NubyaTheRealtor, lorddrakewater, Micheal Hessek","Cephylist, Miriage, bLuESeRoS, Monsoon Cloudburst, Tonu, Sibko Slacker"
750,6,FrozenCityNight,Conquest,3,125,"enblom50, NeoWave, Oozie Man, Snowlulz, DeliiT, Call me Yoshi","Drake67, NubyaTheRealtor, MasterPig, Manikin Fartwalker, benben10, lorddrakewater"
750,6,TerraThermaQP,Conquest,0,125,"NubyaTheRealtor, Manikin Fartwalker, MasterPig, JFrIend, benben10, lorddrakewater","Ghost of Eden, Thunderwyrm, Dylan Pickles, Resting_Cthulhu, KH Slaine, Doc Device"
750,6,VitricForgeQP,Conquest,2,44,"Phartnocker, EyeSeaHue, GIJimmy41, GraterAuthority, PhatSamurai, FoPhoenix","NubyaTheRealtor, NolRinela, benben10, Manikin Fartwalker, MasterPig, lorddrakewater"
116,4,RiverCity,Conquest,6,750,"Manikin Fartwalker, NubyaTheRealtor, NolRinela, benben10, MasterPig, lorddrakewater","Phartnocker, GIJimmy41, Jags37, EyeSeaHue, GraterAuthority, FoPhoenix"
750,6,HibernalRift,Conquest,3,221,"Tonu, Cephylist, Vampyreq, Monsoon Cloudburst, Xyco, LAHIRE","NubyaTheRealtor, benben10, JFrIend, Drake67, Manikin Fartwalker, Micheal Hessek"
97,1,HibernalRift,Conquest,6,750,"NubyaTheRealtor, benben10, JFrIend, Drake67, lorddrakewater, Manikin Fartwalker","Cephylist, Maverick2020, mr bear, bLuESeRoS, Tonu, SaberXtorm"