obs_file,full_path,obs_datetime,datetime_source,match_id,game_time,mech,round,game,map,confidence,match_status,notes
M1 BenUpsVsBPL.mkv,G:\Videos\aasecond wave\M1 BenUpsVsBPL.mkv,2026-02-21 20:16:04,metadata,29001390907328,2026-02-22 02:12:00,JVN-11F,1,1,Polar Highlands,medium,auto_matched,comp_date=2026-02-21; window_score=16.53; candidate_videos=6; matched using metadata timestamp with extra same-day videos present
M2 BenUpsVsBPL.mkv,G:\Videos\aasecond wave\M2 BenUpsVsBPL.mkv,2026-02-21 20:24:26,metadata,29237614109941,2026-02-22 02:24:00,BSK-6CS,1,2,Hibernal Rift,medium,auto_matched,comp_date=2026-02-21; window_score=16.53; candidate_videos=6; matched using metadata timestamp with extra same-day videos present
M3 BenUpsVsBPL.mkv,G:\Videos\aasecond wave\M3 BenUpsVsBPL.mkv,2026-02-21 20:35:43,metadata,29164599665329,2026-02-22 02:36:00,JVN-11F,1,3,Hibernal Rift,medium,auto_matched,comp_date=2026-02-21; window_score=16.53; candidate_videos=6; matched using metadata timestamp with extra same-day videos present
M4 BenUpsVsBPL.mkv,G:\Videos\aasecond wave\M4 BenUpsVsBPL.mkv,2026-02-21 20:47:10,metadata,29486722214436,2026-02-22 02:47:00,ON1-M,1,4,Bearclaw II,medium,auto_matched,comp_date=2026-02-21; window_score=16.53; candidate_videos=6; matched using metadata timestamp with extra same-day videos present
M5 BenUpsVsBPL.mkv,G:\Videos\aasecond wave\M5 BenUpsVsBPL.mkv,2026-02-21 20:59:37,metadata,29482427247125,2026-02-22 02:59:00,ON1-M,1,5,Bearclaw II,medium,auto_matched,comp_date=2026-02-21; window_score=16.53; candidate_videos=6; matched using metadata timestamp with extra same-day videos present
2026-02-21 20-08-24.mkv,G:\Videos\aasecond wave\2026-02-21 20-08-24.mkv,2026-02-21 20:08:24,filename,,,,,,,,extra_unmatched,comp_date=2026-02-21; left unmatched as extra same-day recording
2026-02-28 20-04-32.mkv,G:\Videos\aasecond wave\2026-02-28 20-04-32.mkv,2026-02-28 20:04:32,filename,79961178477538,2026-03-01 02:09:00,JVN-11F,2,1,Bearclaw II,high,auto_matched,comp_date=2026-02-28; window_score=3.27; candidate_videos=5; strong chronological alignment
2026-02-28 20-16-22.mkv,G:\Videos\aasecond wave\2026-02-28 20-16-22.mkv,2026-02-28 20:16:22,filename,80137272137626,2026-03-01 02:21:00,OSR-4D,2,2,Polar Highlands,high,auto_matched,comp_date=2026-02-28; window_score=3.27; candidate_videos=5; strong chronological alignment
2026-02-28 20-28-51.mkv,G:\Videos\aasecond wave\2026-02-28 20-28-51.mkv,2026-02-28 20:28:51,filename,80592538673759,2026-03-01 02:34:00,OSR-4D,2,3,Polar Highlands,high,auto_matched,comp_date=2026-02-28; window_score=3.27; candidate_videos=5; strong chronological alignment
2026-02-28 20-40-20.mkv,G:\Videos\aasecond wave\2026-02-28 20-40-20.mkv,2026-02-28 20:40:20,filename,80506639327317,2026-03-01 02:46:00,BSK-6CS,2,4,Hibernal Rift,high,auto_matched,comp_date=2026-02-28; window_score=3.27; candidate_videos=5; strong chronological alignment
2026-02-28 20-56-08.mkv,G:\Videos\aasecond wave\2026-02-28 20-56-08.mkv,2026-02-28 20:56:08,filename,80940431026597,2026-03-01 03:00:00,MAL-MX90,2,5,Hibernal Rift,high,auto_matched,comp_date=2026-02-28; window_score=3.27; candidate_videos=5; strong chronological alignment
2026-03-07 19-12-24.mkv,G:\Videos\aasecond wave\2026-03-07 19-12-24.mkv,2026-03-07 19:12:24,filename,126282401365220,2026-03-08 01:15:00,JVN-11F,3,1,River City,high,auto_matched,comp_date=2026-03-07; window_score=4.46; candidate_videos=5; strong chronological alignment
2026-03-07 19-21-48.mkv,G:\Videos\aasecond wave\2026-03-07 19-21-48.mkv,2026-03-07 19:21:48,filename,126621703784443,2026-03-08 01:25:00,JVN-11F,3,2,Frozen City Night Classic,high,auto_matched,comp_date=2026-03-07; window_score=4.46; candidate_videos=5; strong chronological alignment
2026-03-07 19-30-15.mkv,G:\Videos\aasecond wave\2026-03-07 19-30-15.mkv,2026-03-07 19:30:15,filename,126879401824342,2026-03-08 01:34:00,VT-5S,3,3,Frozen City Night Classic,high,auto_matched,comp_date=2026-03-07; window_score=4.46; candidate_videos=5; strong chronological alignment
2026-03-07 19-39-47.mkv,G:\Videos\aasecond wave\2026-03-07 19-39-47.mkv,2026-03-07 19:39:47,filename,126737667902459,2026-03-08 01:43:00,BSK-6CS,3,4,Vitric Station,high,auto_matched,comp_date=2026-03-07; window_score=4.46; candidate_videos=5; strong chronological alignment
2026-03-07 19-48-50.mkv,G:\Videos\aasecond wave\2026-03-07 19-48-50.mkv,2026-03-07 19:48:50,filename,126711898098410,2026-03-08 01:53:00,MAL-MX90,3,5,Vitric Station,high,auto_matched,comp_date=2026-03-07; window_score=4.46; candidate_videos=5; strong chronological alignment
2026-03-14 16-12-09.mkv,G:\Videos\aasecond wave\2026-03-14 16-12-09.mkv,2026-03-14 16:12:09,filename,172302976535690,2026-03-14 21:15:00,BSW-X1,4,1,Vitric Station,high,auto_matched,comp_date=2026-03-14; window_score=13.11; candidate_videos=5; strong chronological alignment
2026-03-14 16-21-59.mkv,G:\Videos\aasecond wave\2026-03-14 16-21-59.mkv,2026-03-14 16:21:59,filename,171860594901361,2026-03-14 21:26:00,SDR-5K,4,2,River City,high,auto_matched,comp_date=2026-03-14; window_score=13.11; candidate_videos=5; strong chronological alignment
2026-03-14 16-34-10.mkv,G:\Videos\aasecond wave\2026-03-14 16-34-10.mkv,2026-03-14 16:34:10,filename,171486932744358,2026-03-14 21:39:00,OSR-4D,4,3,River City,high,auto_matched,comp_date=2026-03-14; window_score=13.11; candidate_videos=5; strong chronological alignment
2026-03-14 16-45-16.mkv,G:\Videos\aasecond wave\2026-03-14 16-45-16.mkv,2026-03-14 16:45:16,filename,172255731895139,2026-03-14 21:55:00,MAL-MX90,4,4,Frozen City Night Classic,high,auto_matched,comp_date=2026-03-14; window_score=13.11; candidate_videos=5; strong chronological alignment
2026-03-14 17-03-00.mkv,G:\Videos\aasecond wave\2026-03-14 17-03-00.mkv,2026-03-14 17:03:00,filename,172728178300523,2026-03-14 22:07:00,SDR-5K,4,5,Frozen City Night Classic,high,auto_matched,comp_date=2026-03-14; window_score=13.11; candidate_videos=5; strong chronological alignment
2026-03-21 16-09-18.mkv,G:\Videos\aasecond wave\2026-03-21 16-09-18.mkv,2026-03-21 16:09:18,filename,35787441633370,2026-03-21 21:12:00,OSR-4D,5,1,Emerald Vale,high,auto_matched,comp_date=2026-03-21; window_score=11.35; candidate_videos=5; strong chronological alignment
2026-03-21 16-19-36.mkv,G:\Videos\aasecond wave\2026-03-21 16-19-36.mkv,2026-03-21 16:19:36,filename,36534765946953,2026-03-21 21:24:00,FS9-K,5,2,Caustic Valley,high,auto_matched,comp_date=2026-03-21; window_score=11.35; candidate_videos=5; strong chronological alignment
2026-03-21 16-32-37.mkv,G:\Videos\aasecond wave\2026-03-21 16-32-37.mkv,2026-03-21 16:32:37,filename,35564103332615,2026-03-21 21:41:00,SDR-5K,5,3,Caustic Valley,high,auto_matched,comp_date=2026-03-21; window_score=11.35; candidate_videos=5; strong chronological alignment
2026-03-21 16-47-20.mkv,G:\Videos\aasecond wave\2026-03-21 16-47-20.mkv,2026-03-21 16:47:20,filename,36569125685578,2026-03-21 21:52:00,BSK-6CS,5,4,Terra Therma Crucible,high,auto_matched,comp_date=2026-03-21; window_score=11.35; candidate_videos=5; strong chronological alignment
2026-03-21 17-00-22.mkv,G:\Videos\aasecond wave\2026-03-21 17-00-22.mkv,2026-03-21 17:00:22,filename,36354377319492,2026-03-21 22:03:00,VT-5S,5,5,Terra Therma Crucible,high,auto_matched,comp_date=2026-03-21; window_score=11.35; candidate_videos=5; strong chronological alignment
