filename,title,description,tags,round,game,map,mech,match_id
mwocomp - jvn-11f - polar highlands - r1g1 - 2026-02-21.mkv,JVN-11F on Polar Highlands | Round 1 Game 1 | MWO Competitive,"MWO Competitive Match

Round 1, Game 1
Map: Polar Highlands
Mech: JVN-11F

Full competitive gameplay from organized MWO matches.

#MWO #MechWarrior #MWOComp","mwo, mechwarrior online, mwo competitive, mechwarrior, gaming",1,1,Polar Highlands,JVN-11F,29001390907328
mwocomp - bsk-6cs - hibernal rift - r1g2 - 2026-02-21.mkv,BSK-6CS on Hibernal Rift | Round 1 Game 2 | MWO Competitive,"MWO Competitive Match

Round 1, Game 2
Map: Hibernal Rift
Mech: BSK-6CS

Full competitive gameplay from organized MWO matches.

#MWO #MechWarrior #MWOComp","mwo, mechwarrior online, mwo competitive, mechwarrior, gaming",1,2,Hibernal Rift,BSK-6CS,29237614109941
mwocomp - jvn-11f - hibernal rift - r1g3 - 2026-02-21.mkv,JVN-11F on Hibernal Rift | Round 1 Game 3 | MWO Competitive,"MWO Competitive Match

Round 1, Game 3
Map: Hibernal Rift
Mech: JVN-11F

Full competitive gameplay from organized MWO matches.

#MWO #MechWarrior #MWOComp","mwo, mechwarrior online, mwo competitive, mechwarrior, gaming",1,3,Hibernal Rift,JVN-11F,29164599665329
mwocomp - on1-m - bearclaw ii - r1g4 - 2026-02-21.mkv,ON1-M on Bearclaw II | Round 1 Game 4 | MWO Competitive,"MWO Competitive Match

Round 1, Game 4
Map: Bearclaw II
Mech: ON1-M

Full competitive gameplay from organized MWO matches.

#MWO #MechWarrior #MWOComp","mwo, mechwarrior online, mwo competitive, mechwarrior, gaming",1,4,Bearclaw II,ON1-M,29486722214436
mwocomp - on1-m - bearclaw ii - r1g5 - 2026-02-21.mkv,ON1-M on Bearclaw II | Round 1 Game 5 | MWO Competitive,"MWO Competitive Match

Round 1, Game 5
Map: Bearclaw II
Mech: ON1-M

Full competitive gameplay from organized MWO matches.

#MWO #MechWarrior #MWOComp","mwo, mechwarrior online, mwo competitive, mechwarrior, gaming",1,5,Bearclaw II,ON1-M,29482427247125
mwocomp - jvn-11f - bearclaw ii - r2g1 - 2026-02-28.mkv,JVN-11F on Bearclaw II | Round 2 Game 1 | MWO Competitive,"MWO Competitive Match

Round 2, Game 1
Map: Bearclaw II
Mech: JVN-11F

Full competitive gameplay from organized MWO matches.

#MWO #MechWarrior #MWOComp","mwo, mechwarrior online, mwo competitive, mechwarrior, gaming",2,1,Bearclaw II,JVN-11F,79961178477538
mwocomp - osr-4d - polar highlands - r2g2 - 2026-02-28.mkv,OSR-4D on Polar Highlands | Round 2 Game 2 | MWO Competitive,"MWO Competitive Match

Round 2, Game 2
Map: Polar Highlands
Mech: OSR-4D

Full competitive gameplay from organized MWO matches.

#MWO #MechWarrior #MWOComp","mwo, mechwarrior online, mwo competitive, mechwarrior, gaming",2,2,Polar Highlands,OSR-4D,80137272137626
mwocomp - osr-4d - polar highlands - r2g3 - 2026-02-28.mkv,OSR-4D on Polar Highlands | Round 2 Game 3 | MWO Competitive,"MWO Competitive Match

Round 2, Game 3
Map: Polar Highlands
Mech: OSR-4D

Full competitive gameplay from organized MWO matches.

#MWO #MechWarrior #MWOComp","mwo, mechwarrior online, mwo competitive, mechwarrior, gaming",2,3,Polar Highlands,OSR-4D,80592538673759
mwocomp - bsk-6cs - hibernal rift - r2g4 - 2026-02-28.mkv,BSK-6CS on Hibernal Rift | Round 2 Game 4 | MWO Competitive,"MWO Competitive Match

Round 2, Game 4
Map: Hibernal Rift
Mech: BSK-6CS

Full competitive gameplay from organized MWO matches.

#MWO #MechWarrior #MWOComp","mwo, mechwarrior online, mwo competitive, mechwarrior, gaming",2,4,Hibernal Rift,BSK-6CS,80506639327317
mwocomp - mal-mx90 - hibernal rift - r2g5 - 2026-02-28.mkv,MAL-MX90 on Hibernal Rift | Round 2 Game 5 | MWO Competitive,"MWO Competitive Match

Round 2, Game 5
Map: Hibernal Rift
Mech: MAL-MX90

Full competitive gameplay from organized MWO matches.

#MWO #MechWarrior #MWOComp","mwo, mechwarrior online, mwo competitive, mechwarrior, gaming",2,5,Hibernal Rift,MAL-MX90,80940431026597
mwocomp - jvn-11f - river city - r3g1 - 2026-03-07.mkv,JVN-11F on River City | Round 3 Game 1 | MWO Competitive,"MWO Competitive Match

Round 3, Game 1
Map: River City
Mech: JVN-11F

Full competitive gameplay from organized MWO matches.

#MWO #MechWarrior #MWOComp","mwo, mechwarrior online, mwo competitive, mechwarrior, gaming",3,1,River City,JVN-11F,126282401365220
mwocomp - jvn-11f - frozen city night classic - r3g2 - 2026-03-07.mkv,JVN-11F on Frozen City Night Classic | Round 3 Game 2 | MWO Competitive,"MWO Competitive Match

Round 3, Game 2
Map: Frozen City Night Classic
Mech: JVN-11F

Full competitive gameplay from organized MWO matches.

#MWO #MechWarrior #MWOComp","mwo, mechwarrior online, mwo competitive, mechwarrior, gaming",3,2,Frozen City Night Classic,JVN-11F,126621703784443
mwocomp - vt-5s - frozen city night classic - r3g3 - 2026-03-07.mkv,VT-5S on Frozen City Night Classic | Round 3 Game 3 | MWO Competitive,"MWO Competitive Match

Round 3, Game 3
Map: Frozen City Night Classic
Mech: VT-5S

Full competitive gameplay from organized MWO matches.

#MWO #MechWarrior #MWOComp","mwo, mechwarrior online, mwo competitive, mechwarrior, gaming",3,3,Frozen City Night Classic,VT-5S,126879401824342
mwocomp - bsk-6cs - vitric station - r3g4 - 2026-03-07.mkv,BSK-6CS on Vitric Station | Round 3 Game 4 | MWO Competitive,"MWO Competitive Match

Round 3, Game 4
Map: Vitric Station
Mech: BSK-6CS

Full competitive gameplay from organized MWO matches.

#MWO #MechWarrior #MWOComp","mwo, mechwarrior online, mwo competitive, mechwarrior, gaming",3,4,Vitric Station,BSK-6CS,126737667902459
mwocomp - mal-mx90 - vitric station - r3g5 - 2026-03-07.mkv,MAL-MX90 on Vitric Station | Round 3 Game 5 | MWO Competitive,"MWO Competitive Match

Round 3, Game 5
Map: Vitric Station
Mech: MAL-MX90

Full competitive gameplay from organized MWO matches.

#MWO #MechWarrior #MWOComp","mwo, mechwarrior online, mwo competitive, mechwarrior, gaming",3,5,Vitric Station,MAL-MX90,126711898098410
mwocomp - bsw-x1 - vitric station - r4g1 - 2026-03-14.mkv,BSW-X1 on Vitric Station | Round 4 Game 1 | MWO Competitive,"MWO Competitive Match

Round 4, Game 1
Map: Vitric Station
Mech: BSW-X1

Full competitive gameplay from organized MWO matches.

#MWO #MechWarrior #MWOComp","mwo, mechwarrior online, mwo competitive, mechwarrior, gaming",4,1,Vitric Station,BSW-X1,172302976535690
mwocomp - sdr-5k - river city - r4g2 - 2026-03-14.mkv,SDR-5K on River City | Round 4 Game 2 | MWO Competitive,"MWO Competitive Match

Round 4, Game 2
Map: River City
Mech: SDR-5K

Full competitive gameplay from organized MWO matches.

#MWO #MechWarrior #MWOComp","mwo, mechwarrior online, mwo competitive, mechwarrior, gaming",4,2,River City,SDR-5K,171860594901361
mwocomp - osr-4d - river city - r4g3 - 2026-03-14.mkv,OSR-4D on River City | Round 4 Game 3 | MWO Competitive,"MWO Competitive Match

Round 4, Game 3
Map: River City
Mech: OSR-4D

Full competitive gameplay from organized MWO matches.

#MWO #MechWarrior #MWOComp","mwo, mechwarrior online, mwo competitive, mechwarrior, gaming",4,3,River City,OSR-4D,171486932744358
mwocomp - mal-mx90 - frozen city night classic - r4g4 - 2026-03-14.mkv,MAL-MX90 on Frozen City Night Classic | Round 4 Game 4 | MWO Competitive,"MWO Competitive Match

Round 4, Game 4
Map: Frozen City Night Classic
Mech: MAL-MX90

Full competitive gameplay from organized MWO matches.

#MWO #MechWarrior #MWOComp","mwo, mechwarrior online, mwo competitive, mechwarrior, gaming",4,4,Frozen City Night Classic,MAL-MX90,172255731895139
mwocomp - sdr-5k - frozen city night classic - r4g5 - 2026-03-14.mkv,SDR-5K on Frozen City Night Classic | Round 4 Game 5 | MWO Competitive,"MWO Competitive Match

Round 4, Game 5
Map: Frozen City Night Classic
Mech: SDR-5K

Full competitive gameplay from organized MWO matches.

#MWO #MechWarrior #MWOComp","mwo, mechwarrior online, mwo competitive, mechwarrior, gaming",4,5,Frozen City Night Classic,SDR-5K,172728178300523
mwocomp - osr-4d - emerald vale - r5g1 - 2026-03-21.mkv,OSR-4D on Emerald Vale | Round 5 Game 1 | MWO Competitive,"MWO Competitive Match

Round 5, Game 1
Map: Emerald Vale
Mech: OSR-4D

Full competitive gameplay from organized MWO matches.

#MWO #MechWarrior #MWOComp","mwo, mechwarrior online, mwo competitive, mechwarrior, gaming",5,1,Emerald Vale,OSR-4D,35787441633370
mwocomp - fs9-k - caustic valley - r5g2 - 2026-03-21.mkv,FS9-K on Caustic Valley | Round 5 Game 2 | MWO Competitive,"MWO Competitive Match

Round 5, Game 2
Map: Caustic Valley
Mech: FS9-K

Full competitive gameplay from organized MWO matches.

#MWO #MechWarrior #MWOComp","mwo, mechwarrior online, mwo competitive, mechwarrior, gaming",5,2,Caustic Valley,FS9-K,36534765946953
mwocomp - sdr-5k - caustic valley - r5g3 - 2026-03-21.mkv,SDR-5K on Caustic Valley | Round 5 Game 3 | MWO Competitive,"MWO Competitive Match

Round 5, Game 3
Map: Caustic Valley
Mech: SDR-5K

Full competitive gameplay from organized MWO matches.

#MWO #MechWarrior #MWOComp","mwo, mechwarrior online, mwo competitive, mechwarrior, gaming",5,3,Caustic Valley,SDR-5K,35564103332615
mwocomp - bsk-6cs - terra therma crucible - r5g4 - 2026-03-21.mkv,BSK-6CS on Terra Therma Crucible | Round 5 Game 4 | MWO Competitive,"MWO Competitive Match

Round 5, Game 4
Map: Terra Therma Crucible
Mech: BSK-6CS

Full competitive gameplay from organized MWO matches.

#MWO #MechWarrior #MWOComp","mwo, mechwarrior online, mwo competitive, mechwarrior, gaming",5,4,Terra Therma Crucible,BSK-6CS,36569125685578
mwocomp - vt-5s - terra therma crucible - r5g5 - 2026-03-21.mkv,VT-5S on Terra Therma Crucible | Round 5 Game 5 | MWO Competitive,"MWO Competitive Match

Round 5, Game 5
Map: Terra Therma Crucible
Mech: VT-5S

Full competitive gameplay from organized MWO matches.

#MWO #MechWarrior #MWOComp","mwo, mechwarrior online, mwo competitive, mechwarrior, gaming",5,5,Terra Therma Crucible,VT-5S,36354377319492
